classified-sents,machine-code,handcode
"('MODERATOR', 'O'),",FALSE,TRUE
"(':', 'O'),",FALSE,FALSE
"  ('Good', 'O'),",FALSE,FALSE
"  ('afternoon', 'O'),",FALSE,FALSE
"  (',', 'O'),",FALSE,FALSE
"  ('everyone', 'O'),",FALSE,FALSE
"  ('.', 'O')],",FALSE,FALSE
" [('The', 'O'),",FALSE,FALSE
"  ('Foreign', 'ORGANIZATION'),",FALSE,FALSE
"  ('Press', 'ORGANIZATION'),",FALSE,FALSE
"  ('Center', 'ORGANIZATION'),",FALSE,FALSE
"  ('is', 'O'),",FALSE,FALSE
"  ('pleased', 'O'),",FALSE,FALSE
"  ('to', 'O'),",FALSE,FALSE
"  ('host', 'O'),",FALSE,FALSE
"  ('a', 'O'),",FALSE,FALSE
"  ('briefing', 'O'),",FALSE,FALSE
"  ('on', 'O'),",FALSE,FALSE
"  ('recent', 'O'),",FALSE,FALSE
"  ('cyber', 'O'),",FALSE,FALSE
"  ('security', 'O'),",FALSE,FALSE
"  ('operations', 'O'),",FALSE,FALSE
"  ('with', 'O'),",FALSE,FALSE
"  ('Mr.', 'O'),",FALSE,TRUE
"  ('John', 'PERSON'),",TRUE,TRUE
"  ('Morton', 'PERSON'),",TRUE,TRUE
"  ('.', 'O')],",FALSE,FALSE
" [('Mr.', 'O'),",FALSE,TRUE
"  ('Morton', 'PERSON'),",TRUE,TRUE
"  ('has', 'O'),",FALSE,FALSE
"  ('served', 'O'),",FALSE,FALSE
"  ('as', 'O'),",FALSE,FALSE
"  ('director', 'O'),",FALSE,FALSE
"  ('of', 'O'),",FALSE,FALSE
"  ('U.S.', 'LOCATION'),",FALSE,FALSE
"  ('Immigration', 'O'),",FALSE,FALSE
"  ('and', 'O'),",FALSE,FALSE
"  ('Customs', 'ORGANIZATION'),",FALSE,FALSE
"  ('Enforcement', 'ORGANIZATION'),",FALSE,FALSE
"  ('since', 'O'),",FALSE,FALSE
"  ('May', 'O'),",FALSE,FALSE
